Tipo;Janeiro;Fevereiro;Marco;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
Internacional;188311;173344;198836;183714;188462;193339;228633;248493;208892;163644;177966;177108
Nacional;221220;216300;225630;232862;231184;225490;249290;237214;209216;200838;222444;235220
